Heat of vaporization,Heat capacity,Dielectric constant,Surface tension,Compressibility,Thermal expansion,Density,MW,Donor hydrogen bond count,Acceptor hydrogen bond count,Heavy atom count,Aromaticity,PAC mean heavy atoms,PAC max,deltaG(sol),deltaG(exf),chemical_form,Smiles,CAS_number,Solvent_full,Solvent_number
29.27,94.06,7.64,26.04,2.16,1.97,1373.2,119.37,0,0,4,0,0.13344,0.3336,147.4835234,59.40917217,CHCl3,ClC(Cl)Cl,,1_chloroform,1
34.17,104.2,14.69,25.1,0.91,1.3,2475.3,173.84,0,0,3,0,0.088,0.11,152.1739225,49.5563935,CH2Br2,BrCBr,,3_dibromomethane,3
23.36,70.07,9.63,17.34,2.22,2.05,1200.4,84.93,0,1,4,0,0.0824,0.103,134.7865108,60.09019895,CHCl2,C(Cl)Cl,,4_Dichlorofluoromethane,4
42.48,98.65,7.8,37.31,0.54,1.05,1136.8,46.03,0,0,3,0,0.388,0.53,164.0674344,55.32734488,CH2O2,O=CO,,6_methanoic-acid,6
25.83,87.11,59.68,57.2,0.36,1.25,1126,45.04,1,1,3,0,0.314866667,0.5283,157,74.68643101,CH3NO,O=CN,,FRM,8
24.33,75.8,30.42,12.03,2.02,1.47,735.1,32.04,1,1,2,0,0.05,0.05,129.8,78.67730901,CH3OH,CO,"	67-56-1",MET,10
47.53,154.8,11.97,34.7,0.77,1.14,1681.7,202.09,0,0,7,0,0.1025,0.21,148.8151197,53.49121639,C2HCl5,C(C(Cl)(Cl)Cl)(Cl)Cl,,11_Pentachloroethane,11
64.67,137.2,32.8,38.16,0.46,0.79,1018.7,59.07,1,1,4,0,0.32,0.76,180.2280502,56.76327138,xx,CC(=O)N,,23_acetamide,23
49.85,119.4,24.16,36.91,0.46,0.99,979.9,59.07,1,1,4,0,0.222222222,0.5,184.032862,50.79231891,C2H5NO,CNC=O,,24_N-Methylformamide,24
31.57,109.53,35.67,18.77,1.32,1.33,792,46.07,1,1,3,0,0.191777778,0.683,151.2,67.95895097,C2H6O,OCC,,ETH,27
55.62,132.17,31.01,42.43,0.58,1.03,1082,78.13,0,2,4,0,0.17218,0.4553,180.7,55.18814139,C2H6OS,CS(=O)C,,DMSO,30
30.22,106.81,48.9,48.19,0.45,0.96,1027.4,61.08,2,2,4,0,0.287818182,0.9,174.5896009,71.98161859,C2H7NO,NCCO,,32_2-aminoethanol,32
31.56,143.41,46.5,27.59,0.53,1.25,981,60.1,2,2,4,0,0.3,0.9,169.9281642,69.78879019,xx,C(CN)N,,33_ethane-1-2-diamine,33
